TractID,TotalPopulation,TotalPop18plus,Mammography_Pct,Mammography_CI_Low,Mammography_CI_High,Uninsured_Pct,Uninsured_CI_Low,Uninsured_CI_High,Geolocation
25025081200,3506,2650,80.4,75.2,84.9,14.0,10.9,17.8,POINT (-71.1037533 42.3243654)
25025081301,2394,1850,77.7,72.4,82.5,17.7,14.0,21.5,POINT (-71.0993402 42.3186892)
25025081302,3080,2376,78.3,73.1,83.0,16.7,13.3,20.5,POINT (-71.096562 42.3197631)
25025081400,3774,3259,84.9,80.9,88.4,6.2,4.9,7.7,POINT (-71.0937549 42.3277602)
25025081500,2449,1984,83.4,79.3,87.1,8.0,6.2,10.1,POINT (-71.0929141 42.3207186)
25025081700,4141,3135,83.6,79.3,87.5,9.8,7.8,12.0,POINT (-71.0860337 42.3226992)
25025081800,3567,2754,84.4,80.3,88.1,10.2,8.1,12.5,POINT (-71.0800303 42.3203184)
25025081900,3671,2738,85.5,81.7,89.0,9.7,7.6,12.0,POINT (-71.089652 42.3154742)
25025082000,3195,2435,84.3,80.1,88.0,10.9,8.6,13.5,POINT (-71.0839483 42.3137479)
25025082100,5224,3824,82.7,78.1,86.7,14.2,11.6,17.0,POINT (-71.0872292 42.3094485)
25025090100,5171,3768,81.5,76.9,85.8,11.8,9.4,14.3,POINT (-71.0820195 42.3023758)
25025090200,2412,1626,83.4,79.1,87.2,12.3,9.5,15.4,POINT (-71.0790559 42.3071378)
25025090300,3795,2616,78.6,73.4,83.2,14.9,11.8,18.1,POINT (-71.076505 42.3109366)
